date,ticker,price,decision,reason,sentiment,rsi,confidence
2025-12-19,ADA-USDT,0.3767,sell,"SELL: score=-11.3 [RSI_bias:+0.3, MACD_neg:-6.0, Sent:+0.0, Vol:-5.6]",0.000,38.55,0.400
2025-12-19,BNB-USDT,856.17,sell,"SELL: score=-18.9 [RSI_bias:+0.2, MACD_neg:-6.0, Sent:-1.1, LLM_sell:-12.0]",-0.050,43.53,0.600
2025-12-19,BTC-USDT,88136.94,hold,"Neutral (score=-5.9, signals=1)",0.000,44.70,0.200
2025-12-19,DOGE-USDT,0.13222,sell,"SELL: score=-7.0 [RSI_bias:+0.2, MACD_neg:-6.0, Sent:+6.6, Vol:-7.8]",0.300,42.70,0.200
2025-12-19,DOT-USDT,1.849,sell,"SELL: score=-18.7 [RSI_bias:+0.4, MACD_neg:-6.0, BB_low:+1.2, Sent:+0.0, LLM_sell:-12.0, Vol:-2.3]",-0.000,32.92,0.800
2025-12-19,ETH-USDT,2979.5,sell,"SELL: score=-8.9 [RSI_bias:+0.1, MACD_neg:-6.0, Sent:-2.2, Vol:-0.8]",-0.100,46.61,0.200
2025-12-19,LTC-USDT,77.49,sell,"SELL: score=-21.0 [RSI_bias:+0.3, MACD_neg:-6.0, Sent:-3.3, LLM_sell:-12.0]",-0.150,38.93,0.600
2025-12-19,SOL-USDT,126.27,sell,"SELL: score=-23.1 [RSI_bias:+0.1, MACD_neg:-6.0, Sent:-3.3, LLM_sell:-12.0, Vol:-2.0]",-0.150,43.89,0.600
2025-12-19,XRP-USDT,1.9092,sell,"SELL: score=-23.6 [RSI_bias:+0.2, MACD_neg:-6.0, Sent:-3.3, LLM_sell:-12.0, Vol:-2.6]",-0.150,40.95,0.600
2025-12-20,ADA-USDT,0.373,sell,"SELL: score=-11.1 [RSI_bias:+0.3, MACD_neg:-6.0, Sent:+0.0, Vol:-5.4]",0.000,37.84,0.400
2025-12-20,BNB-USDT,854.17,sell,"SELL: score=-21.1 [RSI_bias:+0.2, MACD_neg:-6.0, Sent:-3.3, LLM_sell:-12.0]",-0.150,43.15,0.600
